"Timeline: 13 distinct 3 years phases: location, language, focus ",,,," ""Starfish"" across the global grid.",
Rank,Age Range,Phase / Location,Language,The Event ,Logic
1 (A),0–3,Buenos Aires,Spanish,Origem,"Born into the ""Silver"" land."
2,3–6,Israel,Hebrew,Kambio,"First change, at an early age"
3,6–9,Buenos Aires,Spanish,Return,ack to Argentina
4,9–12,Argentina,Logic,Math,"Olympiads and riddles become a source of fun.
Start working on the rubbicks cube"
5,12–15,The Escape,Ancient Hebrew,Bar-Mitzvah,"Rejection of the state of judaism. The teachers are ignorant.
They Follow blindly without undersanting. The FEAR god (haredim) but cant understand it"
6,15–18,Israel,Hebrew,Naale,Left home at 15 to finish highschool in israel
7,18–21,IDF,Command,A phycisist,Talpiot program
8,21–24,The Pulse,Matlab,An officer,First posting in UAV - Meteor program
9,24–27,Civilian,Java,A programmer,Change of posting to actually develop SW instead of using matlab to simulate physiscal stuff
10,27–30,The Search,Music,A Dancer,Here i start exploring the beauty of dance to electronic music and begin exploring what one day will become this book. Its all about the 145 BPM
11 (J),30–33,The Nomad,Dance,El Fisico,"Back to argentina, his training becomes his alter ego."
12 (Q),33–36,The Aura,Cpp,The Roam,"Unsure where to set anchor, I roam ""aimlessly"" between argentina and israel.
Having both homes, and no home truly"
13 (K),36–39,The Build,Mastery,The Prophet,Decides to write this book: ONE
