SUIT,RANK,STORY,FILE,NULL
Theology,,,,
O,1 (A),Dios nunca repite - Genesis DAY measured by KAMBIO,"There might be only ONE electron in the universe, since it experiences no time","Time is perceived by your level of FOCUS, not real"
O,2,The Cat called Life,,
O,3,The 3 days of creation,"Physics, Chemistry, Biology","particle, molecule, DNA and cells"
O,4,Cognition - The starts ARE the observers,The Cat created all the animals,XX -> XY. X is 4 female Y is 3 male
O,5,Eve and Adam,She came first,X -> Y Adam came from removing a rib from EVE
O,6,The Apple and the Snake ,The God Network: tails are antennae,"Es como el acertijo teologico: puede dios crear una piedra tan grande q el no pieda mover?
puede el crear una cerradura que ni el mismo pueda violar? Si"
O,7,The Shabat,The day of rest is the first great gift,NULL
O,8,The Banishment and Mila,The end of human sacrifice is the second great gift,
O,9,The Great Flood WAS real,This was before there were any monoteistic religions. Noah was a good man that DID NOT understand what was happeing to him.,NULL
O,10,The Ten Commandments,,NULL
O,11 (J),Rules of Kosher,Limit toxicology: only ruminant matters!,NULL
O,12 (Q),Jesus was jewish and the romans killed him,,NULL
O,13 (K),Divine is music not bound to the rules of sound propagation. Electronic music,,NULL
Science,, , ,
Y,1 (A),Electromagnetism and Gravity,,NULL
Y,2,the golder ratio as algebraic number:,0=f*f-f+1,NULL
Y,3,pi,"an irrational number, but we know so few",NULL
Y,4,Divine is music not bound to the rules of sound propagation. Electronic music,,NULL
Y,5,Eppur si muove (1663),Terraplanismo,NULL
Y,6,Newton was wrong,Einstein was right,NULL
Y,7,goldilocks universe,,NULL
Y,8,Nature doesnt produce pigment blue, ,NULL
Y,9,Strong and Weak nuclear forces, ,NULL
Y,10,Fish dont see water,,NULL
Y,11 (J),U can see IR with a digital camera,Secret I,NULL
Y,12 (Q),LSD - You can see wind moving (waves),"",NULL
Y,13 (K),La pelotita a 145,Fun Dancing is vertical resonance,"Right bpm, no voice, playfully predictible"
Tales and Kabala , , , ,NULL
X,1 (A),AbraKadAbra,,NULL
X,2,"XX vs XY (all animals are part woman, because we ll are born from a female. Thats the first X. ",,Then the second one is what we actually are
X,3,los tres abrazos,,NULL
X,4,Party - God listens to electronic music,Divine is music not bound to the rules of sound propagation. Electronic music,NULL
X,5,pq hebreo solo escribe consonantes?,,NULL
X,6,pq hebreo RTL y no LTR?,,NULL
X,7,The Seven Capital Sins,There is no hell! ,NULL
X,8,foreskin is the tool for raping. Necessary in a system where reproduction is a mechanical act., ,
X,9,3x3 vs 2x2 - how much info can be encoded in a language,,NULL
X,10,"The horizontal energy is real. If you are part of a minyan, you dont even have to pray at all. Just say AMEN",,NULL
X,11 (J),A clone shares the original soul. An engineered baby has NO soul. Does not count for minyan,,NULL
X,12 (Q),you dont get old and unflexible. ,you first lose flexibility and then get old,NULL
X,13 (K),The Emperors new Robes, ,NULL
Fun and Riddles, , , ,NULL
*,1 (A),La Regla numero 1: NO PENSAR,,NULL
*,2,los dos corchos,,NULL
*,3,Horizontal Party,Small BIG Small,NULL
*,4,least weighs to weigh 1 to 40 kg in scale,"1,3,9,27",NULL
*,5,spanning set of change in your wallet: 145,"100, 10, 10, 20, 5",NULL
*,6,el cubo rubik, ,NULL
*,7,island prison -  how you swim out?,>3/4 pi,NULL
*,8,three bedouins in the desert 3+5 loaves for 8 gold coins, ,NULL
*,9,9+99+999+9999+...+ (1000 9s) = ,how many ones in the answer?,NULL
*,10,A falling tree makes noise if no one to hear?,Day 4 - Animals are the stars ,NULL
*,11 (J),Why did god create the universe?,"our entire unvierse is a womb. God is digital. Boolean. Good an Bad. Black and White, and he created a quantum computer that models our entire universe. His hope is one day, out of the womb, a digital+biological sentient being would emerge. Someone he might call a friend. He waits for that moment",NULL
*,12 (Q),Fermi's paradox: the great filter,"Nuclear energy is NOT the Great filter, because it did not ignite the atmosphere",NULL
*,13 (K),Whats The meaning of life?,is figuring out what the meaning of life is. We each have our answer,evolving
